economy,series,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020
ABW,DT.ODA.ODAT.CD,,,,,,,,,,,
ABW,NY.GDP.PCAP.CD,24134.47386,25849.96401,25496.84394,26442.4268,26895.05717,28399.05013,28453.71556,29348.41897,30253.71423,31135.88436,23384.29879
ABW,SE.ADT.LITR.ZS,96.82263947,,,,,,,,97.80741882,,
ABW,SM.POP.REFG,,,,,,,,,,,
ABW,SM.POP.REFG.OR,,,,,,,,,,,
ABW,SP.DYN.LE00.IN,75.017,75.158,75.299,75.441,75.583,75.725,75.868,76.01,76.152,76.293,76.434
AFE,DT.ODA.ODAT.CD,24977449818,28533789930,26226879871,29207570093,25900260071,25497109968,25069150086,27881609782,27525489811,30202910114,
AFE,NY.GDP.PCAP.CD,1659.654922,1810.229164,1777.30395,1748.905594,1736.24222,1556.316469,1446.533624,1629.404273,1541.031661,1511.309259,1360.878645
AFE,SE.ADT.LITR.ZS,,,,,,,,,,,
AFE,SM.POP.REFG,1384532,1765825,1900709,2054335,2637640,3333273,3990478,5155400,5114399,5087755,5183533
AFE,SM.POP.REFG.OR,2302760,2771433,2893167,2977763,3559470,4195068,4917140,6058091,5958200,5936536,5959979
AFE,SP.DYN.LE00.IN,58.47069668,59.35359492,60.18556105,60.95336296,61.64736659,62.25928837,62.78768149,63.24626353,63.64898804,64.00521262,64.32570223
AFG,DT.ODA.ODAT.CD,6235319824,6740830078,6666319824,5152540039,4938020020,4271660156,4069379883,3811699951,3791419922,4137620117,4206660156
AFG,NY.GDP.PCAP.CD,543.3065262,591.1900302,638.8458516,624.3154545,614.2233424,556.0072209,512.0127781,516.6798622,485.6684187,494.1793499,516.7478708
AFG,SE.ADT.LITR.ZS,,31.44885063,,,,,,,,,
AFG,SM.POP.REFG,6434,3011,16184,16861,300421,257553,59770,75927,72228,72227,72278
AFG,SM.POP.REFG.OR,3054699,2664423,2586132,2556483,2596259,2666294,2501447,2624265,2681267,2727556,2594827
AFG,SP.DYN.LE00.IN,61.028,61.553,62.054,62.525,62.966,63.377,63.763,64.13,64.486,64.833,65.173
AFW,DT.ODA.ODAT.CD,15345270012,14186749874,15529890201,14105610011,14729140148,14652700121,13834239950,15917469879,16573919943,18431019997,
AFW,NY.GDP.PCAP.CD,1687.588526,1862.365107,1965.11575,2157.494584,2212.914095,1894.322115,1673.843681,1613.490478,1704.135698,1777.852822,1709.764129
AFW,SE.ADT.LITR.ZS,,,,,,,,,,,
AFW,SM.POP.REFG,810884,933618,934976,951229,1108169,1138010,1200854,1172523,1285773,1315229,1474135
AFW,SM.POP.REFG.OR,507349,600135,641877,724624,919751,1038377,1090726,1155918,1283440,1354330,1457853
AFW,SP.DYN.LE00.IN,54.14430671,54.64999813,55.13894432,55.61898641,56.08826904,56.54200914,56.97476115,57.3823627,57.76234679,58.11572272,58.44595273
AGO,DT.ODA.ODAT.CD,235169998.2,192940002.4,243210006.7,285540008.5,235389999.4,380010009.8,201270004.3,223220001.2,162289993.3,21309999.47,110870002.7
AGO,NY.GDP.PCAP.CD,3497.974488,4518.31335,4978.434435,5127.717243,5094.112329,3127.890598,1728.023754,2313.220584,2524.942483,2177.799015,1631.431691
AGO,SE.ADT.LITR.ZS,,,,,66.03011322,,,,,,
AGO,SM.POP.REFG,15142,16212,23401,23771,15468,15547,15547,41119,39856,25793,25791
AGO,SM.POP.REFG.OR,134851,128657,19253,10274,9468,11855,8388,8292,8243,8176,8196
AGO,SP.DYN.LE00.IN,55.35,56.33,57.236,58.054,58.776,59.398,59.925,60.379,60.782,61.147,61.487
ALB,DT.ODA.ODAT.CD,365070007.3,379480011,349070007.3,269299987.8,281170013.4,335160003.7,171039993.3,168350006.1,344320007.3,27049999.24,309950012.2
ALB,NY.GDP.PCAP.CD,4094.348386,4437.142612,4247.630047,4413.062005,4578.633208,3952.802538,4124.05539,4531.019374,5287.663694,5396.215864,5332.160475
ALB,SE.ADT.LITR.ZS,,96.84529877,97.24697113,,,,,,98.14115143,,
ALB,SM.POP.REFG,75,79,84,96,111,109,141,124,132,120,105
ALB,SM.POP.REFG.OR,14771,13552,12569,10104,10156,10404,11060,12168,13512,15027,15523
ALB,SP.DYN.LE00.IN,76.562,76.914,77.252,77.554,77.813,78.025,78.194,78.333,78.458,78.573,78.686
